Unnamed: 0,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard,cluster
 Hajek J.,2.0,1.0,0.0,1.0,79.0,1.0,0.0,0.0,1
Acasuso J.,192.0,68.0,5.0,101.0,20.0,67.0,0.0,34.0,3
Adaktusson J.,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,1
Agamenone F.,5.0,2.0,0.0,3.0,156.0,3.0,0.0,0.0,1
Agassi A.,37.0,17.0,3.0,26.0,6.0,0.0,2.0,24.0,1
Agostinelli B.,1.0,1.0,0.0,0.0,1171.0,0.0,0.0,0.0,1
Aguilar J.,4.0,4.0,0.0,0.0,223.0,0.0,0.0,0.0,1
Ahouda A.,4.0,2.0,0.0,1.0,727.0,1.0,0.0,0.0,1
Ajdukovic D.,12.0,7.0,0.0,4.0,110.0,4.0,0.0,0.0,1
Al Ghareeb M.,4.0,3.0,0.0,0.0,352.0,0.0,0.0,0.0,1
Al-Ghareeb M.,1.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0,1
Albot R.,222.0,107.0,1.0,86.0,39.0,20.0,8.0,58.0,3
Alcaide G.,1.0,1.0,0.0,0.0,238.0,0.0,0.0,0.0,1
Alcaraz C.,238.0,52.0,20.0,187.0,1.0,72.0,24.0,91.0,3
Aldi F.,5.0,3.0,0.0,1.0,112.0,1.0,0.0,0.0,1
Almagro N.,595.0,137.0,23.0,360.0,9.0,248.0,11.0,101.0,2
Almagro N. ,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,1
Altamirano C.,1.0,1.0,0.0,0.0,345.0,0.0,0.0,0.0,1
Altmaier D.,120.0,70.0,0.0,41.0,47.0,23.0,5.0,13.0,1
Alund M.,17.0,14.0,0.0,7.0,91.0,7.0,0.0,0.0,1
Alvarez Varona N.,3.0,2.0,0.0,1.0,231.0,0.0,0.0,1.0,1
Alves M.,1.0,1.0,0.0,0.0,556.0,0.0,0.0,0.0,1
Alves T.,28.0,20.0,0.0,7.0,105.0,1.0,2.0,4.0,1
Amritraj P.,21.0,5.0,1.0,10.0,159.0,0.0,8.0,2.0,1
Ancic M.,178.0,67.0,8.0,118.0,9.0,17.0,16.0,85.0,3
Anderson A.,1.0,1.0,0.0,0.0,1564.0,0.0,0.0,0.0,1
Anderson K.,573.0,129.0,20.0,331.0,5.0,57.0,46.0,228.0,2
Anderson O.,1.0,1.0,0.0,0.0,813.0,0.0,0.0,0.0,1
Andreev A.,7.0,6.0,0.0,2.0,211.0,0.0,0.0,2.0,1
Andreev I.,325.0,116.0,6.0,167.0,19.0,81.0,8.0,78.0,3
Andreev I. ,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,1
Andreozzi G.,40.0,31.0,0.0,12.0,74.0,6.0,1.0,5.0,1
Androic T.,2.0,2.0,0.0,0.0,294.0,0.0,0.0,0.0,1
Andujar P.,383.0,128.0,9.0,153.0,36.0,111.0,3.0,39.0,3
Aragone J.,2.0,2.0,0.0,0.0,289.0,0.0,0.0,0.0,1
Aragone J.C.,1.0,1.0,0.0,0.0,299.0,0.0,0.0,0.0,1
Aragone JC,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,1
Aranguren J.M.,2.0,2.0,0.0,0.0,257.0,0.0,0.0,0.0,1
Arevalo M.,2.0,2.0,0.0,0.0,145.0,0.0,0.0,0.0,1
Arguello F.,16.0,11.0,0.0,1.0,107.0,1.0,0.0,0.0,1
Armando H.,15.0,12.0,0.0,5.0,167.0,5.0,0.0,0.0,1
Arnaboldi A.,14.0,10.0,0.0,4.0,165.0,4.0,0.0,0.0,1
Arnaldi M.,79.0,41.0,0.0,40.0,30.0,16.0,1.0,23.0,1
Arthurs W.,31.0,21.0,0.0,14.0,77.0,0.0,3.0,11.0,1
Artunedo Martinavarro A.,1.0,1.0,0.0,0.0,340.0,0.0,0.0,0.0,1
Arvidsson I.,1.0,1.0,0.0,0.0,507.0,0.0,0.0,0.0,1
Ascione T.,33.0,19.0,0.0,7.0,82.0,3.0,0.0,4.0,1
Atmane T.,12.0,10.0,0.0,3.0,121.0,1.0,0.0,2.0,1
Auckland J.,2.0,1.0,0.0,1.0,414.0,0.0,0.0,1.0,1
Auger-Aliassime F.,321.0,104.0,15.0,189.0,6.0,42.0,21.0,126.0,3
Authom M.,2.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,1
Avidzba A.,2.0,1.0,0.0,1.0,498.0,0.0,0.0,1.0,1
Awadhy O.,1.0,1.0,0.0,0.0,1112.0,0.0,0.0,0.0,1
Azzaro L.,3.0,3.0,0.0,0.0,295.0,0.0,0.0,0.0,1
Bachinger M.,81.0,49.0,1.0,30.0,86.0,10.0,2.0,18.0,1
Baez S.,157.0,69.0,8.0,82.0,4.0,63.0,3.0,16.0,3
Baghdatis M.,544.0,145.0,13.0,304.0,8.0,27.0,48.0,229.0,2
Bagnis F.,124.0,51.0,2.0,43.0,55.0,35.0,0.0,8.0,1
Bahrouzyan O.,1.0,1.0,0.0,0.0,808.0,0.0,0.0,0.0,1
Bai Y.,8.0,6.0,0.0,2.0,241.0,0.0,0.0,2.0,1
Bailly G.,2.0,1.0,0.0,0.0,869.0,0.0,0.0,0.0,1
Baker B.,45.0,28.0,1.0,18.0,56.0,5.0,4.0,9.0,1
Baker J.,19.0,11.0,0.0,3.0,200.0,0.0,3.0,0.0,1
Balazs A.,32.0,18.0,1.0,16.0,78.0,16.0,0.0,0.0,1
Baldi F.,3.0,3.0,0.0,0.0,149.0,0.0,0.0,0.0,1
Ball C.,18.0,11.0,1.0,7.0,131.0,1.0,0.0,6.0,1
Balleret B.,10.0,4.0,0.0,2.0,234.0,1.0,0.0,1.0,1
Baluda V.,1.0,1.0,0.0,0.0,466.0,0.0,0.0,0.0,1
Bangoura S.,1.0,1.0,0.0,0.0,313.0,0.0,0.0,0.0,1
Barranco Cosano J.,1.0,1.0,0.0,0.0,254.0,0.0,0.0,0.0,1
Barrere G.,101.0,45.0,0.0,38.0,55.0,10.0,6.0,22.0,1
Barrientos N.,3.0,2.0,0.0,0.0,293.0,0.0,0.0,0.0,1
Barrios M.,15.0,9.0,0.0,5.0,120.0,4.0,1.0,0.0,1
Barrios Vera M.T.,2.0,1.0,0.0,1.0,300.0,1.0,0.0,0.0,1
Barton M.,8.0,5.0,0.0,4.0,248.0,1.0,1.0,2.0,1
Basic M.,47.0,30.0,1.0,19.0,75.0,4.0,2.0,13.0,1
Basilashvili N.,286.0,100.0,9.0,131.0,16.0,40.0,15.0,76.0,3
Basso A.,1.0,1.0,0.0,0.0,416.0,0.0,0.0,0.0,1
Bastl G.,33.0,19.0,0.0,10.0,129.0,0.0,0.0,10.0,1
Bautista Agut R.,414.0,102.0,15.0,250.0,10.0,63.0,35.0,152.0,3
Bautista R.,211.0,69.0,7.0,128.0,14.0,32.0,13.0,83.0,3
Bautista R. ,1.0,1.0,0.0,0.0,315.0,0.0,0.0,0.0,1
Beck A.,94.0,46.0,1.0,36.0,37.0,16.0,7.0,13.0,1
Beck A. ,1.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,1
Beck K.,61.0,42.0,0.0,18.0,39.0,0.0,4.0,14.0,1
Becker B.,356.0,129.0,3.0,144.0,39.0,11.0,35.0,98.0,3
Becker B. ,1.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,1
Bedene A.,272.0,108.0,4.0,123.0,43.0,57.0,13.0,53.0,3
Bega A.,1.0,1.0,0.0,0.0,351.0,0.0,0.0,0.0,1
Behrend T.,26.0,23.0,0.0,8.0,84.0,7.0,0.0,1.0,1
Belic L.,3.0,2.0,0.0,0.0,766.0,0.0,0.0,0.0,1
Bellier A.,9.0,6.0,0.0,4.0,303.0,0.0,3.0,1.0,1
Bellotti R.,1.0,1.0,0.0,0.0,204.0,0.0,0.0,0.0,1
Bellucci M.,14.0,14.0,0.0,5.0,101.0,0.0,0.0,5.0,1
Bellucci T.,367.0,110.0,8.0,169.0,22.0,107.0,6.0,56.0,3
Belyaev I.,1.0,1.0,0.0,0.0,334.0,0.0,0.0,0.0,1
Bemelmans R.,70.0,38.0,0.0,21.0,95.0,2.0,6.0,13.0,1
Benchetrit E.,9.0,6.0,0.0,1.0,217.0,1.0,0.0,0.0,1
Benneteau J.,482.0,120.0,10.0,236.0,25.0,36.0,33.0,167.0,3
Benneteau J. ,1.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,1
Berankis R.,239.0,101.0,2.0,97.0,54.0,9.0,4.0,84.0,3
Berdych T.,831.0,117.0,31.0,551.0,4.0,116.0,62.0,373.0,2
Berdych T. ,2.0,1.0,0.0,1.0,19.0,0.0,0.0,1.0,1
Bergs Z.,43.0,25.0,0.0,16.0,61.0,6.0,0.0,10.0,1
Berlocq C.,294.0,120.0,3.0,120.0,37.0,91.0,5.0,24.0,3
Berrer M.,214.0,93.0,2.0,79.0,43.0,15.0,7.0,57.0,3
Berrettini J.,1.0,1.0,0.0,0.0,842.0,0.0,0.0,0.0,1
Berrettini M.,252.0,79.0,16.0,168.0,6.0,62.0,41.0,65.0,3
Berrettini M. ,3.0,2.0,0.0,1.0,8.0,0.0,0.0,1.0,1
Bester P.,5.0,4.0,0.0,0.0,705.0,0.0,0.0,0.0,1
Betov S.,1.0,1.0,0.0,0.0,514.0,0.0,0.0,0.0,1
Bhambri Y.,34.0,22.0,0.0,11.0,85.0,0.0,0.0,11.0,1
Biryukov M.,2.0,2.0,0.0,0.0,310.0,0.0,0.0,0.0,1
Bjorkman J.,103.0,53.0,2.0,47.0,30.0,5.0,17.0,25.0,1
Blake J.,376.0,97.0,20.0,231.0,5.0,23.0,17.0,191.0,3
Blake J. ,1.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,1
Blancaneaux G.,6.0,6.0,0.0,0.0,139.0,0.0,0.0,0.0,1
Blanch D.,2.0,2.0,0.0,0.0,652.0,0.0,0.0,0.0,1
Blanch U.,1.0,1.0,0.0,0.0,244.0,0.0,0.0,0.0,1
Blanchet U.,3.0,2.0,0.0,1.0,161.0,1.0,0.0,0.0,1
Blanco G.,3.0,3.0,0.0,1.0,292.0,1.0,0.0,0.0,1
Blockx A.,2.0,2.0,0.0,0.0,231.0,0.0,0.0,0.0,1
Bloomfield R.,13.0,7.0,0.0,3.0,194.0,0.0,3.0,0.0,1
Blumberg W.,1.0,1.0,0.0,0.0,773.0,0.0,0.0,0.0,1
Bogaerts R.,1.0,1.0,0.0,0.0,1149.0,0.0,0.0,0.0,1
Bogdanovic A.,24.0,13.0,0.0,7.0,108.0,0.0,6.0,1.0,1
Bogomolov A.,117.0,62.0,0.0,49.0,33.0,0.0,8.0,41.0,1
Bohli S.,18.0,14.0,0.0,2.0,133.0,1.0,0.0,1.0,1
Bohli S. ,1.0,1.0,0.0,0.0,148.0,0.0,0.0,0.0,1
Bolelli S.,255.0,103.0,1.0,108.0,37.0,48.0,15.0,45.0,3
Bolelli S. ,1.0,1.0,0.0,0.0,94.0,0.0,0.0,0.0,1
Bolt A.,47.0,26.0,0.0,16.0,125.0,0.0,4.0,12.0,1
Bonadio R.,3.0,3.0,0.0,1.0,181.0,1.0,0.0,0.0,1
Bonzi B.,94.0,48.0,3.0,43.0,42.0,4.0,8.0,31.0,1
Bopanna R.,18.0,13.0,0.0,5.0,251.0,0.0,3.0,2.0,1
Borg L.,7.0,5.0,0.0,1.0,359.0,1.0,0.0,0.0,1
Borges N.,82.0,47.0,1.0,35.0,33.0,15.0,0.0,20.0,1
Borvanov R.,1.0,1.0,0.0,0.0,357.0,0.0,0.0,0.0,1
Bossel A.,2.0,2.0,0.0,0.0,402.0,0.0,0.0,0.0,1
Bourchier H.,2.0,1.0,0.0,1.0,324.0,0.0,0.0,1.0,1
Bourgeois L.,1.0,1.0,0.0,0.0,369.0,0.0,0.0,0.0,1
Bourgue M.,6.0,4.0,0.0,1.0,156.0,1.0,0.0,0.0,1
Bowles C.,1.0,1.0,0.0,0.0,1401.0,0.0,0.0,0.0,1
Bozoljac I.,24.0,16.0,0.0,7.0,126.0,2.0,2.0,3.0,1
Bracciali D.,68.0,48.0,1.0,27.0,53.0,9.0,5.0,13.0,1
Brancaccio R.,1.0,1.0,0.0,0.0,336.0,0.0,0.0,0.0,1
Brands D.,147.0,73.0,0.0,55.0,52.0,19.0,6.0,30.0,3
Britton D.,2.0,2.0,0.0,0.0,1370.0,0.0,0.0,0.0,1
Brizzi A.,1.0,1.0,0.0,0.0,273.0,0.0,0.0,0.0,1
Broady L.,51.0,30.0,0.0,19.0,108.0,0.0,9.0,10.0,1
Brooksby J.,76.0,38.0,3.0,43.0,34.0,2.0,7.0,34.0,1
Broom C.,2.0,2.0,0.0,0.0,245.0,0.0,0.0,0.0,1
Brouwer G.,26.0,17.0,0.0,12.0,116.0,5.0,3.0,4.0,1
Brown D.,155.0,61.0,0.0,62.0,66.0,21.0,18.0,23.0,3
Brugues-Davi A.,4.0,3.0,0.0,1.0,172.0,0.0,0.0,1.0,1
Bryde T.,1.0,1.0,0.0,0.0,1164.0,0.0,0.0,0.0,1
Brzezicki J.P.,21.0,16.0,0.0,6.0,99.0,6.0,0.0,0.0,1
Bu Y.,14.0,9.0,0.0,8.0,69.0,0.0,0.0,8.0,1
Bubka S.,15.0,12.0,0.0,4.0,148.0,0.0,1.0,3.0,1
Bublik A.,267.0,91.0,10.0,135.0,17.0,19.0,31.0,85.0,3
Buchanan C.,2.0,2.0,0.0,0.0,172.0,0.0,0.0,0.0,1
Burgsmuller L.,20.0,16.0,0.0,5.0,85.0,0.0,0.0,5.0,1
Burniol G.,1.0,1.0,0.0,0.0,505.0,0.0,0.0,0.0,1
Burquier G.,1.0,1.0,0.0,0.0,205.0,0.0,0.0,0.0,1
Burruchaga R.,4.0,4.0,0.0,1.0,159.0,1.0,0.0,0.0,1
Cabal J.S.,1.0,1.0,0.0,0.0,257.0,0.0,0.0,0.0,1
Cachin P.,70.0,40.0,1.0,24.0,54.0,19.0,0.0,5.0,1
Cacic N.,2.0,1.0,0.0,1.0,761.0,1.0,0.0,0.0,1
Cakl T.,8.0,6.0,0.0,1.0,161.0,0.0,0.0,1.0,1
Calatrava A.,9.0,7.0,0.0,2.0,130.0,1.0,0.0,1.0,1
Calleri A.,157.0,68.0,3.0,78.0,26.0,49.0,3.0,26.0,3
Canas G.,112.0,56.0,3.0,61.0,14.0,30.0,7.0,24.0,3
Capdeville P.,95.0,49.0,0.0,33.0,76.0,11.0,2.0,20.0,1
Carballes Baena R.,253.0,93.0,3.0,113.0,51.0,81.0,4.0,28.0,3
Carlsen K.,46.0,32.0,0.0,18.0,53.0,0.0,0.0,18.0,1
Carraz G.,6.0,5.0,0.0,1.0,125.0,0.0,0.0,1.0,1
Carreno Busta P.,346.0,108.0,11.0,210.0,10.0,78.0,6.0,126.0,3
Carreno-Busta P.,104.0,59.0,1.0,39.0,49.0,28.0,0.0,11.0,1
Caruana L.,1.0,1.0,0.0,0.0,397.0,0.0,0.0,0.0,1
Caruso S.,62.0,41.0,0.0,19.0,76.0,8.0,0.0,11.0,1
Casanova H.,1.0,1.0,0.0,0.0,321.0,0.0,0.0,0.0,1
Catarina L.,4.0,2.0,0.0,0.0,554.0,0.0,0.0,0.0,1
Cazaux A.,28.0,18.0,0.0,11.0,75.0,1.0,1.0,9.0,1
Cecchinato M.,200.0,83.0,5.0,74.0,16.0,62.0,2.0,10.0,3
Celikbilek A.,9.0,6.0,0.0,4.0,230.0,0.0,1.0,3.0,1
Cermak F.,6.0,4.0,0.0,3.0,413.0,3.0,0.0,0.0,1
Cerundolo F.,165.0,64.0,5.0,87.0,19.0,53.0,7.0,27.0,3
Cerundolo J.M.,37.0,21.0,1.0,16.0,79.0,9.0,0.0,7.0,1
Cervantes I.,49.0,34.0,0.0,17.0,56.0,12.0,1.0,4.0,1
Cervenak P.,9.0,5.0,0.0,5.0,204.0,5.0,0.0,0.0,1
Chadaj A.,2.0,2.0,0.0,1.0,230.0,1.0,0.0,0.0,1
Chaen T.,1.0,1.0,0.0,0.0,625.0,0.0,0.0,0.0,1
Chaki R.,1.0,1.0,0.0,0.0,482.0,0.0,0.0,0.0,1
Chappell N.,2.0,2.0,0.0,0.0,432.0,0.0,0.0,0.0,1
Chardy J.,571.0,154.0,3.0,275.0,25.0,99.0,28.0,148.0,3
Chardy J. ,2.0,2.0,0.0,1.0,31.0,0.0,0.0,1.0,1
Chela J.,2.0,2.0,0.0,1.0,38.0,1.0,0.0,0.0,1
Chela J.I.,286.0,94.0,6.0,143.0,16.0,89.0,2.0,52.0,3
Chen T.,3.0,3.0,0.0,0.0,282.0,0.0,0.0,0.0,1
Chidekh C.,1.0,1.0,0.0,0.0,434.0,0.0,0.0,0.0,1
Childs L.,1.0,1.0,0.0,0.0,408.0,0.0,0.0,0.0,1
Chiudinelli M.,108.0,51.0,0.0,36.0,53.0,7.0,5.0,24.0,1
Chiudinelli M. ,4.0,2.0,0.0,3.0,73.0,0.0,0.0,3.0,1
Choinski J.,9.0,8.0,0.0,2.0,151.0,1.0,1.0,0.0,1
Chrysochos P.,1.0,1.0,0.0,0.0,1360.0,0.0,0.0,0.0,1
Chung H.,133.0,61.0,0.0,68.0,22.0,16.0,1.0,51.0,1
Chung Y.,2.0,2.0,0.0,0.0,322.0,0.0,0.0,0.0,1
Chvojka E.,2.0,2.0,0.0,0.0,290.0,0.0,0.0,0.0,1
Cilic M.,839.0,150.0,36.0,527.0,3.0,117.0,74.0,336.0,2
Cilic M. ,3.0,1.0,0.0,2.0,13.0,0.0,0.0,2.0,1
Ciorcila P.,1.0,1.0,0.0,0.0,589.0,0.0,0.0,0.0,1
Cipolla F.,92.0,57.0,0.0,27.0,70.0,10.0,0.0,17.0,1
Clarke J.,13.0,7.0,0.0,2.0,156.0,0.0,2.0,0.0,1
Clayton A.,1.0,1.0,0.0,0.0,1281.0,0.0,0.0,0.0,1
Clemens T.,4.0,3.0,0.0,2.0,265.0,0.0,0.0,2.0,1
Clement A.,230.0,82.0,4.0,103.0,34.0,10.0,21.0,72.0,3
Clezar G.,11.0,4.0,0.0,1.0,163.0,1.0,0.0,0.0,1
Cobolli F.,72.0,44.0,1.0,38.0,30.0,14.0,3.0,21.0,1
Collarini A.,2.0,2.0,0.0,0.0,264.0,0.0,0.0,0.0,1
Collignon R.,1.0,1.0,0.0,0.0,164.0,0.0,0.0,0.0,1
Comesana F.,11.0,9.0,0.0,4.0,100.0,0.0,2.0,2.0,1
Copil M.,127.0,60.0,2.0,47.0,56.0,7.0,6.0,34.0,1
Coppejans K.,13.0,11.0,0.0,1.0,158.0,0.0,0.0,1.0,1
Coria F.,118.0,53.0,2.0,48.0,49.0,43.0,0.0,5.0,1
Coria G.,56.0,33.0,2.0,30.0,6.0,16.0,0.0,14.0,1
Coric B.,365.0,107.0,9.0,192.0,12.0,59.0,11.0,122.0,3
Corrie E.,1.0,1.0,0.0,0.0,330.0,0.0,0.0,0.0,1
Costa A.,11.0,9.0,0.0,4.0,100.0,4.0,0.0,0.0,1
Couacaud E.,11.0,11.0,0.0,2.0,177.0,1.0,0.0,1.0,1
Cox D.,5.0,4.0,0.0,0.0,272.0,0.0,0.0,0.0,1
Cressy M.,100.0,57.0,4.0,43.0,32.0,1.0,13.0,29.0,1
Crivoi V.,40.0,26.0,0.0,12.0,79.0,9.0,1.0,2.0,1
Cruciat A.,2.0,2.0,0.0,0.0,183.0,0.0,0.0,0.0,1
Crugnola M.,3.0,3.0,0.0,0.0,237.0,0.0,0.0,0.0,1
Cuadrado C.,5.0,3.0,0.0,3.0,308.0,3.0,0.0,0.0,1
Cuevas P.,408.0,120.0,10.0,203.0,20.0,145.0,7.0,51.0,3
Cuevas P. ,2.0,1.0,0.0,1.0,50.0,0.0,0.0,1.0,1
Cui J.,1.0,1.0,0.0,0.0,583.0,0.0,0.0,0.0,1
Dabul B.,40.0,28.0,0.0,13.0,84.0,6.0,2.0,5.0,1
Damm M.,2.0,2.0,0.0,1.0,204.0,0.0,0.0,1.0,1
Dancevic F.,123.0,49.0,2.0,48.0,67.0,0.0,19.0,29.0,1
Daniel M.,71.0,43.0,0.0,18.0,73.0,16.0,1.0,1.0,1
Daniel T.,214.0,105.0,2.0,75.0,63.0,34.0,0.0,41.0,3
Darcis S.,186.0,82.0,3.0,82.0,38.0,24.0,12.0,46.0,3
Darderi L.,50.0,36.0,1.0,24.0,32.0,20.0,2.0,2.0,1
Dasnieres de Veigy J.,6.0,4.0,0.0,1.0,227.0,1.0,0.0,0.0,1
Davidovich Fokina A.,214.0,76.0,1.0,107.0,21.0,40.0,6.0,61.0,3
Davletshin V.,1.0,1.0,0.0,0.0,620.0,0.0,0.0,0.0,1
Davydenko N.,529.0,110.0,21.0,344.0,3.0,109.0,8.0,227.0,2
Davydenko N. ,4.0,2.0,0.0,3.0,7.0,0.0,0.0,3.0,1
Davydenko P.,3.0,2.0,0.0,1.0,658.0,1.0,0.0,0.0,1
De Bakker T.,127.0,70.0,0.0,50.0,43.0,21.0,6.0,23.0,3
De Chaunac S.,10.0,6.0,0.0,5.0,144.0,0.0,0.0,5.0,1
De Greef A.,8.0,6.0,0.0,3.0,127.0,2.0,0.0,1.0,1
De Heart R.,2.0,1.0,0.0,1.0,261.0,0.0,0.0,1.0,1
De Jong J.,10.0,10.0,0.0,2.0,141.0,1.0,0.0,1.0,1
De Loore J.,2.0,2.0,0.0,0.0,174.0,0.0,0.0,0.0,1
De Minaur A.,344.0,89.0,16.0,209.0,7.0,26.0,32.0,151.0,3
De Paula F.,1.0,1.0,0.0,0.0,458.0,0.0,0.0,0.0,1
De Schepper K.,85.0,44.0,0.0,24.0,62.0,5.0,7.0,12.0,1
De Voest R.,26.0,18.0,0.0,6.0,122.0,0.0,1.0,5.0,1
Decoud S.,8.0,6.0,0.0,4.0,173.0,4.0,0.0,0.0,1
Deen Heshaam A.,1.0,1.0,0.0,0.0,1557.0,0.0,0.0,0.0,1
Deheart R.,2.0,2.0,0.0,0.0,226.0,0.0,0.0,0.0,1
Del Bonis F.,13.0,9.0,0.0,6.0,146.0,6.0,0.0,0.0,1
Del Potro J.,3.0,2.0,0.0,2.0,75.0,2.0,0.0,0.0,1
Del Potro J. M.,2.0,2.0,0.0,1.0,30.0,1.0,0.0,0.0,1
Del Potro J.M.,551.0,114.0,34.0,398.0,3.0,71.0,35.0,292.0,2
