,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard
Mochizuki S.,19.0,15.0,0.0,3.0,146.0,0.0,0.0,3.0
Molcan A.,85.0,49.0,3.0,44.0,38.0,27.0,3.0,14.0
Molleker R.,18.0,12.0,0.0,5.0,152.0,4.0,1.0,0.0
Molteni A.,2.0,2.0,0.0,0.0,280.0,0.0,0.0,0.0
Monaco J.,490.0,126.0,18.0,278.0,10.0,185.0,6.0,87.0
Monaco J. ,2.0,1.0,0.0,1.0,30.0,0.0,0.0,1.0
Monfils G.,809.0,170.0,32.0,523.0,6.0,127.0,44.0,352.0
Monfils G. ,2.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0
Montanes A.,385.0,115.0,7.0,186.0,22.0,153.0,5.0,28.0
Montanes A. ,2.0,2.0,0.0,1.0,34.0,0.0,0.0,1.0
Montcourt M.,14.0,10.0,0.0,4.0,114.0,4.0,0.0,0.0
Monteiro J.,1.0,1.0,0.0,0.0,502.0,0.0,0.0,0.0
Monteiro T.,187.0,79.0,0.0,76.0,61.0,55.0,2.0,19.0
Moodie W.,60.0,35.0,1.0,29.0,57.0,0.0,6.0,23.0
Moraing M.,3.0,3.0,0.0,1.0,253.0,1.0,0.0,0.0
Moraru G.,1.0,1.0,0.0,0.0,418.0,0.0,0.0,0.0
Moreno De Alboran N.,17.0,12.0,0.0,6.0,130.0,5.0,0.0,1.0
Moriya H.,14.0,10.0,0.0,3.0,146.0,0.0,0.0,3.0
Moro Canas A.,3.0,2.0,0.0,1.0,240.0,1.0,0.0,0.0
Moroni G.,2.0,1.0,0.0,1.0,265.0,1.0,0.0,0.0
Moroni G.M.,2.0,2.0,0.0,0.0,181.0,0.0,0.0,0.0
Morrison J.,9.0,6.0,0.0,3.0,139.0,0.0,0.0,3.0
Motomura G.,4.0,4.0,0.0,0.0,273.0,0.0,0.0,0.0
Mott B.,2.0,2.0,0.0,0.0,481.0,0.0,0.0,0.0
Moundir A.,1.0,1.0,0.0,0.0,720.0,0.0,0.0,0.0
Moutet C.,145.0,74.0,1.0,60.0,61.0,25.0,5.0,30.0
Moya C.,199.0,68.0,8.0,115.0,12.0,63.0,0.0,52.0
Mpetshi G.,33.0,23.0,2.0,18.0,31.0,4.0,4.0,10.0
Mu T.,1.0,1.0,0.0,0.0,573.0,0.0,0.0,0.0
Mukund S.,3.0,3.0,0.0,0.0,340.0,0.0,0.0,0.0
Muller A.,66.0,39.0,1.0,27.0,68.0,12.0,2.0,13.0
Muller G.,349.0,117.0,7.0,175.0,21.0,15.0,39.0,121.0
Munar J.,210.0,77.0,1.0,85.0,53.0,59.0,3.0,23.0
Munoz De La Nava D.,8.0,8.0,0.0,1.0,75.0,1.0,0.0,0.0
Munoz de La Nava D.,1.0,1.0,0.0,0.0,182.0,0.0,0.0,0.0
Munoz de la Nava D.,1.0,1.0,0.0,0.0,200.0,0.0,0.0,0.0
Munoz-De La Nava D.,27.0,18.0,0.0,8.0,71.0,5.0,0.0,3.0
Murray A.,917.0,138.0,67.0,666.0,1.0,97.0,101.0,468.0
Murray A. ,5.0,2.0,1.0,5.0,4.0,0.0,0.0,5.0
Musetti L.,211.0,79.0,5.0,117.0,16.0,50.0,17.0,50.0
Muster T.,3.0,3.0,0.0,0.0,974.0,0.0,0.0,0.0
Myneni S.,2.0,2.0,0.0,0.0,143.0,0.0,0.0,0.0
Nadal R.,1096.0,100.0,119.0,923.0,1.0,397.0,72.0,454.0
Nadal R. ,3.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0
Nagal S.,37.0,30.0,0.0,8.0,68.0,6.0,0.0,2.0
Nakashima B.,162.0,74.0,3.0,84.0,35.0,11.0,12.0,61.0
Nalbandian D.,308.0,83.0,13.0,209.0,3.0,62.0,16.0,131.0
Nam H.W.,2.0,2.0,0.0,0.0,467.0,0.0,0.0,0.0
Nam J.S.,3.0,3.0,0.0,0.0,268.0,0.0,0.0,0.0
Napolitano S.,10.0,7.0,0.0,3.0,125.0,3.0,0.0,0.0
Nardi L.,27.0,21.0,0.0,6.0,73.0,2.0,1.0,3.0
Naso G.,13.0,11.0,0.0,2.0,238.0,2.0,0.0,0.0
Nava E.,19.0,12.0,0.0,3.0,144.0,0.0,0.0,3.0
Navarro-Pastor I.,86.0,58.0,0.0,26.0,68.0,16.0,6.0,4.0
Navone M.,40.0,27.0,2.0,17.0,31.0,14.0,0.0,3.0
Nedelko I.,1.0,1.0,0.0,0.0,392.0,0.0,0.0,0.0
Nedovyesov A.,19.0,16.0,0.0,4.0,77.0,2.0,0.0,2.0
Nedovyesov O.,1.0,1.0,0.0,0.0,124.0,0.0,0.0,0.0
Nedunchezhiyan J.,1.0,1.0,0.0,0.0,314.0,0.0,0.0,0.0
Neff A.,1.0,1.0,0.0,0.0,829.0,0.0,0.0,0.0
Neumayer L.,3.0,2.0,0.0,1.0,289.0,1.0,0.0,0.0
Nielsen F.,9.0,8.0,0.0,0.0,213.0,0.0,0.0,0.0
Nielsen M.,1.0,1.0,0.0,0.0,309.0,0.0,0.0,0.0
Niemeyer F.,7.0,5.0,0.0,1.0,487.0,0.0,0.0,1.0
Nieminen J.,489.0,141.0,9.0,251.0,13.0,60.0,18.0,173.0
Nieminen J. ,2.0,2.0,0.0,1.0,122.0,0.0,0.0,1.0
Niki T.,1.0,1.0,0.0,0.0,340.0,0.0,0.0,0.0
Nikles J.,4.0,4.0,0.0,1.0,317.0,1.0,0.0,0.0
Niland C.,2.0,2.0,0.0,0.0,228.0,0.0,0.0,0.0
Nishikori K.,590.0,116.0,25.0,399.0,4.0,98.0,38.0,263.0
Nishioka Y.,252.0,94.0,6.0,122.0,31.0,17.0,4.0,101.0
Noguchi R.,2.0,1.0,0.0,1.0,291.0,0.0,0.0,1.0
Norman D.,22.0,17.0,0.0,6.0,90.0,1.0,3.0,2.0
Norrie C.,328.0,95.0,15.0,189.0,8.0,55.0,22.0,112.0
Novak D.,58.0,31.0,0.0,15.0,94.0,5.0,3.0,7.0
Novak J.,40.0,25.0,0.0,18.0,23.0,9.0,1.0,8.0
Novikov D.,16.0,13.0,0.0,5.0,131.0,0.0,3.0,2.0
O Connell C.,110.0,57.0,0.0,45.0,53.0,8.0,4.0,33.0
O'Connell C.,3.0,3.0,0.0,0.0,115.0,0.0,0.0,0.0
O'Neal J.,1.0,1.0,0.0,0.0,748.0,0.0,0.0,0.0
Odesnik W.,89.0,49.0,1.0,39.0,84.0,18.0,0.0,21.0
Ofner S.,84.0,49.0,1.0,37.0,37.0,16.0,7.0,14.0
Ojeda Lara R.,6.0,5.0,0.0,3.0,198.0,1.0,0.0,2.0
Okun N.,12.0,9.0,0.0,3.0,144.0,0.0,0.0,3.0
Olaso G.,6.0,4.0,0.0,2.0,182.0,2.0,0.0,0.0
Olejniczak D.,3.0,3.0,0.0,0.0,195.0,0.0,0.0,0.0
Oliel Y.,2.0,2.0,0.0,0.0,383.0,0.0,0.0,0.0
Olivetti A.,14.0,10.0,0.0,5.0,161.0,0.0,0.0,5.0
Olivieri G.,3.0,2.0,0.0,2.0,231.0,2.0,0.0,0.0
Olivo R.,53.0,32.0,0.0,21.0,88.0,19.0,0.0,2.0
Opelka R.,176.0,73.0,6.0,91.0,17.0,14.0,6.0,71.0
Ortega-Olmedo R.,1.0,1.0,0.0,0.0,310.0,0.0,0.0,0.0
Oswald P.,4.0,3.0,0.0,1.0,398.0,1.0,0.0,0.0
Otte O.,76.0,42.0,0.0,31.0,36.0,9.0,8.0,14.0
Ouahab L.,15.0,5.0,0.0,5.0,140.0,5.0,0.0,0.0
Ouanna J.,25.0,16.0,0.0,8.0,110.0,4.0,0.0,4.0
Oudsema S.,5.0,4.0,0.0,1.0,359.0,0.0,0.0,1.0
Ouyang B.,1.0,1.0,0.0,0.0,1098.0,0.0,0.0,0.0
Pacheco Mendez R.,4.0,3.0,0.0,0.0,692.0,0.0,0.0,0.0
Paire B.,510.0,140.0,9.0,229.0,18.0,82.0,23.0,124.0
Panfil G.,1.0,1.0,0.0,0.0,911.0,0.0,0.0,0.0
Pannu K.,3.0,3.0,0.0,0.0,716.0,0.0,0.0,0.0
Papamalamis T.,1.0,1.0,0.0,0.0,721.0,0.0,0.0,0.0
Parada F.,1.0,1.0,0.0,0.0,385.0,0.0,0.0,0.0
Parmar A.,3.0,2.0,0.0,2.0,230.0,0.0,0.0,2.0
Pasha N.,1.0,1.0,0.0,0.0,1187.0,0.0,0.0,0.0
Pashanski B.,65.0,44.0,0.0,21.0,55.0,14.0,0.0,7.0
Passaro F.,15.0,11.0,0.0,5.0,110.0,4.0,0.0,1.0
Patience O.,42.0,27.0,0.0,12.0,103.0,11.0,1.0,0.0
Patino L.,1.0,1.0,0.0,0.0,809.0,0.0,0.0,0.0
Patriarca D.,1.0,1.0,0.0,0.0,284.0,0.0,0.0,0.0
Paul T.,279.0,91.0,7.0,161.0,12.0,20.0,24.0,117.0
Pavel A.,82.0,49.0,2.0,32.0,38.0,17.0,4.0,11.0
Pavic A.,13.0,10.0,0.0,3.0,145.0,0.0,2.0,1.0
Pavic M.,11.0,8.0,0.0,3.0,404.0,1.0,2.0,0.0
Pavlasek A.,14.0,10.0,0.0,5.0,96.0,4.0,1.0,0.0
Pecotic M.,2.0,2.0,0.0,1.0,784.0,0.0,0.0,1.0
Peliwo F.,5.0,4.0,0.0,1.0,355.0,1.0,0.0,0.0
Pella G.,252.0,87.0,5.0,114.0,20.0,64.0,11.0,39.0
Pellegrino A.,2.0,2.0,0.0,0.0,153.0,0.0,0.0,0.0
Peniston R.,13.0,7.0,0.0,6.0,140.0,0.0,6.0,0.0
Perez D.,1.0,1.0,0.0,0.0,578.0,0.0,0.0,0.0
Peric T.,1.0,1.0,0.0,0.0,1255.0,0.0,0.0,0.0
Pervolarakis M.,1.0,1.0,0.0,0.0,377.0,0.0,0.0,0.0
Petrovic D.,5.0,4.0,0.0,2.0,157.0,2.0,0.0,0.0
Petzschner P.,172.0,70.0,2.0,80.0,35.0,14.0,17.0,49.0
Petzschner P. ,1.0,1.0,0.0,0.0,76.0,0.0,0.0,0.0
Peya A.,39.0,25.0,0.0,10.0,99.0,3.0,2.0,5.0
Phau B.,160.0,75.0,0.0,59.0,59.0,16.0,1.0,42.0
Philippoussis M.,27.0,20.0,1.0,13.0,113.0,0.0,8.0,5.0
Piccari F.,1.0,1.0,0.0,0.0,234.0,0.0,0.0,0.0
Piros Z.,4.0,3.0,0.0,1.0,453.0,1.0,0.0,0.0
Pless K.,37.0,31.0,0.0,9.0,79.0,2.0,1.0,6.0
Podlipnik H.,2.0,2.0,0.0,0.0,734.0,0.0,0.0,0.0
Poerschke L.,2.0,2.0,0.0,0.0,332.0,0.0,0.0,0.0
Polansky P.,49.0,22.0,0.0,11.0,110.0,1.0,0.0,10.0
Poljicak M.,2.0,1.0,0.0,0.0,481.0,0.0,0.0,0.0
Polmans M.,23.0,16.0,0.0,6.0,116.0,2.0,1.0,3.0
Popko D.,2.0,1.0,0.0,0.0,172.0,0.0,0.0,0.0
Popp A.,10.0,8.0,0.0,2.0,253.0,0.0,0.0,2.0
Popp T.,2.0,2.0,0.0,0.0,222.0,0.0,0.0,0.0
Popyrin A.,189.0,87.0,3.0,81.0,23.0,18.0,6.0,57.0
Portas A.,31.0,20.0,0.0,12.0,100.0,12.0,0.0,0.0
Pospisil J.,8.0,8.0,0.0,1.0,133.0,0.0,0.0,1.0
Pospisil V.,266.0,91.0,3.0,112.0,27.0,4.0,17.0,91.0
Pouille L.,258.0,79.0,9.0,131.0,11.0,34.0,19.0,78.0
Prashanth V.,1.0,1.0,0.0,0.0,557.0,0.0,0.0,0.0
Prizmic D.,8.0,6.0,0.0,3.0,165.0,2.0,0.0,1.0
Prodon E.,14.0,13.0,0.0,0.0,88.0,0.0,0.0,0.0
Prpic A.,1.0,1.0,0.0,0.0,205.0,0.0,0.0,0.0
Prpic F.,9.0,6.0,0.0,2.0,230.0,0.0,0.0,2.0
Przysiezny M.,72.0,47.0,0.0,17.0,57.0,3.0,4.0,10.0
Pucinelli de Almeida M.,2.0,2.0,0.0,1.0,264.0,1.0,0.0,0.0
Puerta M.,28.0,19.0,0.0,14.0,9.0,5.0,0.0,9.0
Puetz T.,3.0,3.0,0.0,1.0,183.0,0.0,1.0,0.0
Purcell M.,78.0,49.0,1.0,30.0,41.0,4.0,8.0,18.0
Querrey S.,651.0,136.0,19.0,349.0,12.0,41.0,72.0,236.0
Querry S.,5.0,3.0,0.0,2.0,386.0,0.0,1.0,1.0
Quigley E.,1.0,1.0,0.0,0.0,463.0,0.0,0.0,0.0
Quinn E.,8.0,6.0,0.0,2.0,254.0,0.0,2.0,0.0
Quinzi G.,2.0,2.0,0.0,1.0,304.0,1.0,0.0,0.0
Quiroz R.,6.0,4.0,0.0,3.0,244.0,1.0,0.0,2.0
Qureshi A.,9.0,7.0,0.0,4.0,154.0,0.0,4.0,0.0
Qureshi A.U.H.,5.0,4.0,0.0,1.0,207.0,0.0,1.0,0.0
Rachidi Y.,1.0,1.0,0.0,0.0,923.0,0.0,0.0,0.0
Ram A.,3.0,2.0,0.0,1.0,233.0,0.0,0.0,1.0
Ram R.,135.0,60.0,3.0,52.0,63.0,5.0,18.0,29.0
Ramanathan R.,41.0,23.0,1.0,14.0,128.0,0.0,7.0,7.0
Ramirez C.,3.0,2.0,0.0,0.0,476.0,0.0,0.0,0.0
Ramirez-Hidalgo R.,146.0,69.0,0.0,51.0,43.0,44.0,0.0,7.0
Ramos A.,143.0,67.0,1.0,63.0,38.0,48.0,1.0,14.0
Ramos-Vinolas A.,446.0,127.0,11.0,201.0,19.0,140.0,4.0,57.0
Raonic M.,524.0,94.0,22.0,359.0,3.0,61.0,51.0,247.0
Rastogi K.,3.0,2.0,0.0,1.0,359.0,0.0,0.0,1.0
Recouderc L.,13.0,10.0,0.0,3.0,139.0,2.0,0.0,1.0
Rehberg M.,4.0,3.0,0.0,0.0,412.0,0.0,0.0,0.0
Rehnquist B.,9.0,6.0,0.0,2.0,306.0,2.0,0.0,0.0
Reid M.,1.0,1.0,0.0,0.0,216.0,0.0,0.0,0.0
Reinberg E.,1.0,1.0,0.0,0.0,1032.0,0.0,0.0,0.0
Reister J.,42.0,22.0,0.0,13.0,94.0,10.0,3.0,0.0
Reix C.,2.0,2.0,0.0,1.0,502.0,0.0,0.0,1.0
Renavand N.,2.0,2.0,0.0,1.0,364.0,0.0,0.0,1.0
Rettenmaier T.,1.0,1.0,0.0,0.0,297.0,0.0,0.0,0.0
Reyes-Varela M.A.,2.0,1.0,0.0,0.0,502.0,0.0,0.0,0.0
Reynolds B.,90.0,46.0,0.0,25.0,63.0,3.0,4.0,18.0
Riba P.,77.0,52.0,0.0,23.0,65.0,20.0,0.0,3.0
Riba-Madrid P.,2.0,2.0,0.0,0.0,78.0,0.0,0.0,0.0
Riedi L.,8.0,7.0,0.0,2.0,133.0,1.0,0.0,1.0
Rieschick S.,3.0,3.0,0.0,1.0,253.0,0.0,0.0,1.0
Riffice S.,1.0,1.0,0.0,0.0,542.0,0.0,0.0,0.0
Rincon D.,3.0,2.0,0.0,0.0,216.0,0.0,0.0,0.0
Rinderknech A.,140.0,72.0,1.0,66.0,48.0,19.0,7.0,40.0
Rios F.,1.0,1.0,0.0,0.0,1285.0,0.0,0.0,0.0
Ritschard A.,10.0,7.0,0.0,3.0,163.0,2.0,0.0,1.0
Robert S.,108.0,58.0,1.0,35.0,52.0,12.0,4.0,19.0
Robredo R.,3.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0
Robredo T.,573.0,152.0,18.0,345.0,5.0,165.0,14.0,166.0
Robredo T. ,3.0,2.0,0.0,2.0,15.0,0.0,0.0,2.0
Roca Batalla O.,3.0,2.0,0.0,1.0,314.0,1.0,0.0,0.0
Rocha H.,4.0,3.0,0.0,1.0,182.0,1.0,0.0,0.0
Rochus C.,120.0,79.0,1.0,37.0,41.0,18.0,0.0,19.0
Rochus C. ,1.0,1.0,0.0,0.0,88.0,0.0,0.0,0.0
Rochus O.,255.0,91.0,6.0,113.0,24.0,20.0,21.0,72.0
Rochus O. ,1.0,1.0,0.0,0.0,61.0,0.0,0.0,0.0
Roddick A.,408.0,83.0,25.0,301.0,3.0,17.0,39.0,245.0
Rodionov J.,32.0,20.0,0.0,12.0,107.0,5.0,2.0,5.0
Rodrigues M.,2.0,2.0,0.0,1.0,275.0,0.0,0.0,1.0
Rodriguez B.,1.0,1.0,0.0,0.0,439.0,0.0,0.0,0.0
Rodriguez Taverna S.,1.0,1.0,0.0,0.0,201.0,0.0,0.0,0.0
Roger-Vasselin E.,193.0,69.0,2.0,74.0,36.0,15.0,16.0,43.0
Roitman S.,75.0,50.0,0.0,21.0,62.0,20.0,0.0,1.0
Rola B.,25.0,17.0,0.0,8.0,80.0,4.0,1.0,3.0
Romboli F.,1.0,1.0,0.0,0.0,244.0,0.0,0.0,0.0
Rosenholm P.,3.0,2.0,0.0,1.0,371.0,0.0,0.0,1.0
Roshardt R.,2.0,1.0,0.0,0.0,588.0,0.0,0.0,0.0
Rosol L.,254.0,94.0,4.0,106.0,26.0,44.0,8.0,54.0
Roumane R.,1.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0
Rubin N.,27.0,21.0,0.0,7.0,144.0,1.0,0.0,6.0
Rublev A.,476.0,101.0,26.0,304.0,5.0,77.0,19.0,208.0
Rufin G.,41.0,26.0,0.0,15.0,85.0,5.0,2.0,8.0
Rune H.,202.0,77.0,8.0,125.0,4.0,44.0,10.0,71.0
Rusedski G.,47.0,31.0,1.0,24.0,29.0,2.0,5.0,17.0
Russell M.,161.0,74.0,0.0,59.0,67.0,7.0,7.0,45.0
Ruud C.,345.0,95.0,23.0,221.0,2.0,137.0,5.0,79.0
Ruusuvuori E.,186.0,77.0,2.0,93.0,40.0,14.0,11.0,68.0
Rybakov A.,1.0,1.0,0.0,0.0,378.0,0.0,0.0,0.0
Ryderstedt M.,16.0,9.0,0.0,5.0,130.0,3.0,0.0,2.0
Sa A.,1.0,1.0,0.0,0.0,241.0,0.0,0.0,0.0
Saavedra Corvalan C.,1.0,1.0,0.0,0.0,395.0,0.0,0.0,0.0
Sabau R.,32.0,25.0,0.0,9.0,74.0,7.0,1.0,1.0
Sabry S.,1.0,1.0,0.0,0.0,586.0,0.0,0.0,0.0
Sachko V.,5.0,5.0,0.0,0.0,166.0,0.0,0.0,0.0
Sadecky A.,3.0,1.0,0.0,1.0,401.0,1.0,0.0,0.0
Safin M.,181.0,74.0,2.0,95.0,4.0,19.0,11.0,65.0
Safiullin R.,98.0,55.0,1.0,45.0,36.0,7.0,7.0,31.0
Safranek V.,2.0,2.0,0.0,0.0,210.0,0.0,0.0,0.0
Safwat M.,13.0,11.0,0.0,1.0,173.0,0.0,1.0,0.0
Sakamoto P.,1.0,1.0,0.0,0.0,389.0,0.0,0.0,0.0
Sakharov G.,4.0,3.0,0.0,1.0,159.0,1.0,0.0,0.0
Salamanca C.,1.0,1.0,0.0,0.0,310.0,0.0,0.0,0.0
Salva B.,5.0,4.0,0.0,0.0,339.0,0.0,0.0,0.0
Salzenstein J.,3.0,3.0,0.0,1.0,437.0,0.0,0.0,1.0
Samper-Montana J.,2.0,2.0,0.0,0.0,216.0,0.0,0.0,0.0
Sanchez D.,7.0,5.0,0.0,3.0,116.0,3.0,0.0,0.0
Sanchez De Luna J.,2.0,2.0,0.0,0.0,304.0,0.0,0.0,0.0
Sanchez Izquierdo N.,1.0,1.0,0.0,0.0,260.0,0.0,0.0,0.0
Sanchez M.,1.0,1.0,0.0,0.0,624.0,0.0,0.0,0.0
Sanchez de Luna J.A.,1.0,1.0,0.0,0.0,494.0,0.0,0.0,0.0
Sandbichler A.,1.0,1.0,0.0,0.0,570.0,0.0,0.0,0.0
Sandgren T.,116.0,59.0,2.0,42.0,41.0,8.0,8.0,26.0
Sanguinetti D.,65.0,44.0,0.0,24.0,42.0,5.0,1.0,18.0
Santillan A.,9.0,8.0,0.0,2.0,168.0,0.0,1.0,1.0
Santoro F.,164.0,66.0,2.0,79.0,34.0,3.0,22.0,54.0
Saoudi S.,2.0,2.0,0.0,0.0,524.0,0.0,0.0,0.0
Saretta F.,19.0,13.0,0.0,6.0,83.0,6.0,0.0,0.0
Sargsian S.,3.0,3.0,0.0,0.0,391.0,0.0,0.0,0.0
Sarkissian A.,6.0,5.0,0.0,2.0,176.0,1.0,0.0,1.0
Sarmiento R.,1.0,1.0,0.0,0.0,705.0,0.0,0.0,0.0
Satral J.,3.0,3.0,0.0,1.0,226.0,0.0,0.0,1.0
Saulnier C.,32.0,28.0,0.0,12.0,48.0,0.0,0.0,12.0
Saville L.,9.0,5.0,0.0,2.0,164.0,0.0,2.0,0.0
Schalken S.,1.0,1.0,0.0,0.0,202.0,0.0,0.0,0.0
Scherrer J.C.,3.0,3.0,0.0,1.0,466.0,0.0,0.0,1.0
Schnur B.,18.0,13.0,1.0,3.0,92.0,0.0,0.0,3.0
Scholtz N.,1.0,1.0,0.0,0.0,662.0,0.0,0.0,0.0
Schoolkate T.,5.0,5.0,0.0,1.0,185.0,0.0,0.0,1.0
Schoorel T.,6.0,5.0,0.0,1.0,168.0,1.0,0.0,0.0
Schuettler R.,190.0,81.0,1.0,75.0,29.0,9.0,19.0,47.0
Schuettler R. ,1.0,1.0,0.0,0.0,85.0,0.0,0.0,0.0
Schukin Y.,27.0,20.0,0.0,11.0,141.0,11.0,0.0,0.0
Schuttler P.,1.0,1.0,0.0,0.0,350.0,0.0,0.0,0.0
